기준_년분기_코드,상권_코드,상권_코드_명,자치구,상권유형,서비스_업종_코드,서비스_업종_코드_명,전체_점포_수,p_순감소,예측_개업건수,예측_폐업건수,예측_개업률,예측_폐업률
20261,3110132,성수2가3동주민센터,성동구,골목상권,CS100004,양식음식점,8,0.21636735591794942,0.29055861821396967,0.36048457669209616,3.631982727674621,4.506057208651202
20261,3110132,성수2가3동주민센터,성동구,골목상권,CS100005,제과점,5,0.16388389192267586,0.16219888103874017,0.20948891234962072,3.2439776207748032,4.1897782469924145
20261,3110132,성수2가3동주민센터,성동구,골목상권,CS100010,커피-음료,18,0.28117867670722263,0.7109651820023968,0.8595446866796453,3.949806566679982,4.775248259331363
20261,3110133,서울교통공사,성동구,골목상권,CS100001,한식음식점,9,0.12864892119383045,0.35528116762254947,0.34292821877985497,3.9475685291394385,3.8103135419983882
20261,3110134,성수119안전센터,성동구,골목상권,CS100001,한식음식점,37,0.41614475114130783,1.61060181592824,1.3199093898645786,4.352977880887135,3.567322675309672
20261,3110134,성수119안전센터,성동구,골목상권,CS100004,양식음식점,5,0.2415977952482066,0.21911209757679426,0.1993933919340396,4.382241951535885,3.987867838680792
20261,3110134,성수119안전센터,성동구,골목상권,CS100005,제과점,6,0.22910256277894278,0.21226586199563674,0.23086902669708245,3.5377643665939456,3.847817111618041
20261,3110134,성수119안전센터,성동구,골목상권,CS100006,패스트푸드점,5,0.15246062289508316,0.20023691887344378,0.2461631305968025,4.004738377468875,4.9232626119360505
20261,3110134,성수119안전센터,성동구,골목상권,CS100009,호프-간이주점,16,0.3253689577543438,0.47910520189161476,0.5743043820256126,2.994407511822592,3.589402387660079
20261,3110134,성수119안전센터,성동구,골목상권,CS100010,커피-음료,18,0.33122623520988914,0.8196693414749191,0.7843727775636307,4.553718563749551,4.35762654202017
20261,3110135,성동세무서,성동구,골목상권,CS100001,한식음식점,14,0.19015574821919917,0.5182304438724221,0.4896095164547416,3.7016460276601584,3.4972108318195825
20261,3110135,성동세무서,성동구,골목상권,CS100010,커피-음료,9,0.2277498213478935,0.336388303928372,0.39105095847697,3.7376478214263558,4.345010649744111
20261,3110136,경수초등학교,성동구,골목상권,CS100001,한식음식점,28,0.2817042184935575,1.2636341006208929,1.0393968129964204,4.512978930788903,3.712131474987216
20261,3110136,경수초등학교,성동구,골목상권,CS100002,중식음식점,5,0.1123764885008758,0.21388382756470428,0.2251773255266145,4.2776765512940855,4.50354651053229
20261,3110136,경수초등학교,성동구,골목상권,CS100003,일식음식점,10,0.20460432344585935,0.3725067129406342,0.45422985821186673,3.7250671294063418,4.542298582118668
20261,3110136,경수초등학교,성동구,골목상권,CS100004,양식음식점,32,0.3938625974028587,1.1804209890507922,1.5259100591891142,3.6888155907837255,4.7684689349659815
20261,3110136,경수초등학교,성동구,골목상권,CS100005,제과점,12,0.296272186960362,0.3999518274705023,0.5117934102101329,3.3329318955875187,4.264945085084441
20261,3110136,경수초등학교,성동구,골목상권,CS100006,패스트푸드점,9,0.22766469943385184,0.33166634436769904,0.48538125276486305,3.6851816040855447,5.3931250307207
20261,3110136,경수초등학교,성동구,골목상권,CS100008,분식전문점,9,0.22766666877770378,0.37286155509773206,0.41355008382256997,4.142906167752578,4.595000931361889
20261,3110136,경수초등학교,성동구,골목상권,CS100009,호프-간이주점,10,0.25008868007422586,0.312009268957496,0.3681577288870167,3.1200926895749594,3.681577288870167
20261,3110136,경수초등학교,성동구,골목상권,CS100010,커피-음료,51,0.45339757756131505,2.147082629268311,2.5253502973380773,4.209965939741786,4.9516672496825045
